id,temp,soc,start
286,1.3,1.48,False
402,3.5,75.38,True
253,-13.8,85.87,True
4,-14.3,93.47,True
372,0.5,45.67,True
110,-5.7,34.04,False
767,-5.8,33.05,False
458,-7.6,74.71,False
234,0.8,12.22,False
661,-18.7,94.49,True
433,2.3,52.12,True
388,-0.2,90.03,True
800,1.5,50.72,True
176,-13.8,38.26,False
192,-5.9,91.0,True
634,-18.5,2.97,False
896,-4.2,45.82,False
520,-6.9,12.06,False
925,1.5,63.48,True
943,-17.9,56.51,False
12,2.7,76.29,True
563,0.9,25.98,False
828,-6.8,51.73,False
740,-15.8,87.71,True
386,-17.2,58.22,False
979,-14.6,38.86,False
271,-9.7,87.59,True
585,0.8,72.28,True
411,-17.6,73.97,False
289,3.2,47.5,True
956,-1.8,9.34,False
587,-12.0,78.63,False
689,-12.0,39.43,False
748,-17.5,35.75,False
684,-0.2,83.33,True
649,-7.7,65.88,False
275,1.9,72.21,True
827,0.1,62.84,True
808,-5.0,91.51,True
631,-9.9,27.29,False
922,-19.0,7.81,False
789,-5.3,90.6,True
946,-2.8,26.17,False
157,2.9,31.83,True
301,1.3,9.42,False
31,-19.2,1.93,False
475,1.7,21.23,False
976,4.8,73.89,True
722,-14.7,57.98,False
532,-19.0,34.92,False
434,2.0,41.86,True
957,-5.5,50.03,False
118,-1.4,73.69,True
918,0.1,88.03,True
200,-11.4,81.18,True
706,-15.3,84.46,True
89,-7.2,78.21,False
249,-10.6,50.37,False
216,-1.3,19.74,False
359,-19.8,49.95,False
387,-11.8,10.25,False
489,-0.2,97.1,True
824,2.9,26.53,False
306,-16.5,32.0,False
831,-4.3,15.31,False
983,-0.9,7.27,False
318,-11.6,70.68,False
573,-8.0,12.19,False
187,-11.5,22.76,False
663,-19.6,78.29,False
151,-7.5,26.57,False
183,-6.5,98.99,True
478,-12.7,17.02,False
365,-16.3,55.21,False
776,2.0,58.31,True
280,-10.9,66.7,False
670,1.1,45.98,True
753,-17.7,8.47,False
934,-5.1,57.24,False
751,-13.5,62.49,False
182,-10.0,9.8,False
106,-14.9,41.6,False
414,-10.0,85.56,True
576,-5.0,64.35,True
390,-9.7,70.76,False
453,-8.4,66.39,False
508,-1.8,67.14,True
50,-5.8,65.65,False
383,-13.2,82.44,True
755,-16.0,62.16,False
912,-2.1,71.5,True
601,-8.6,50.88,False
802,3.0,39.76,True
765,-10.8,2.4,False
417,-19.3,30.76,False
446,-19.2,60.94,False
299,3.1,42.76,True
165,-17.6,17.85,False
879,-7.8,56.15,False
367,1.3,69.48,True
963,-5.2,18.59,False
259,-0.4,2.18,False
781,0.9,70.91,True
807,-15.8,62.36,False
374,-10.1,65.31,False
264,-17.6,45.83,False
94,-17.6,18.6,False
998,4.7,23.54,False
320,-4.0,15.82,False
86,-16.2,84.56,True
21,-4.8,7.88,False
927,-10.1,83.04,True
16,-10.1,60.77,False
822,3.8,70.68,True
302,-7.3,2.71,False
437,1.3,64.22,True
986,-12.4,23.88,False
541,-18.3,17.38,False
920,4.9,36.18,True
270,-8.6,49.99,False
953,-16.2,61.66,False
762,-13.0,79.78,False
355,-6.2,84.65,True
883,-3.4,51.37,False
219,3.0,77.2,True
232,-6.9,34.58,False
591,2.7,55.67,True
279,-1.9,38.65,False
121,-13.7,61.38,False
196,-7.9,4.41,False
996,-14.9,9.75,False
702,-12.7,79.67,False
149,0.8,18.4,False
276,-12.3,20.01,False
466,-10.8,55.69,False
638,-17.9,37.14,False
657,-8.2,18.14,False
653,-2.6,2.03,False
147,-3.9,88.18,True
256,-14.0,12.96,False
949,2.9,26.81,False
95,-2.5,66.82,True
533,-6.0,17.5,False
775,-8.8,64.84,False
609,2.2,96.5,True
322,-0.3,9.29,False
260,-2.8,29.38,False
138,-6.4,69.05,False
861,1.2,44.43,True
577,-2.3,83.31,True
472,4.3,94.36,True
364,1.8,76.55,True
786,-3.3,1.46,False
903,-4.8,44.87,False
636,-19.4,56.34,False
967,-13.2,91.24,True
71,-3.8,51.66,False
44,1.3,64.82,True
698,-8.3,82.92,True
565,-8.3,92.05,True
677,2.3,87.83,True
771,-12.1,33.55,False
412,3.4,36.13,True
846,-1.8,98.99,True
324,-5.2,1.43,False
366,-2.3,8.75,False
159,-3.0,88.74,True
933,-1.2,13.91,False
175,-11.7,60.63,False
667,-18.1,87.91,True
479,-9.5,98.07,True
982,-6.8,81.05,True
558,-3.2,16.33,False
26,-12.1,70.83,False
556,-13.9,32.37,False
633,-0.3,65.78,True
397,-3.5,58.76,False
865,-3.2,75.4,True
297,4.9,94.97,True
711,-18.8,94.13,True
735,-2.2,13.44,False
544,-9.2,80.17,True
424,-10.6,76.3,False
975,-8.7,96.64,True
87,0.9,18.37,False
853,2.3,84.76,True
766,-3.2,14.1,False
241,-16.4,93.74,True
230,-13.6,94.14,True
163,-14.5,6.36,False
169,-10.8,89.02,True
901,4.2,75.4,True
62,-15.5,46.26,False
22,-14.1,52.34,False
814,3.2,64.6,True
358,4.0,15.03,False
626,-6.6,90.23,True
207,-17.4,71.62,False
714,2.7,68.85,True
122,-8.0,86.72,True
866,-18.6,38.38,False
909,-2.0,2.52,False
640,-0.7,16.93,False
582,-5.7,61.24,False
516,-14.1,20.29,False
502,-11.7,11.22,False
37,-19.2,41.73,False
305,1.2,51.63,True
891,-14.0,58.88,False
456,2.2,15.48,False
266,-19.0,46.83,False
96,-8.0,27.74,False
666,-2.1,16.18,False
136,-15.4,62.83,False
339,-10.0,87.57,True
752,-8.2,60.7,False
485,-19.8,89.01,True
904,-2.8,85.43,True
64,-8.2,15.08,False
990,0.5,38.64,True
540,-11.4,3.72,False
686,1.7,5.89,False
482,-19.1,72.32,False
156,1.3,9.08,False
773,-6.7,4.84,False
739,-18.2,53.35,False
721,-1.4,64.45,True
450,-9.9,73.59,False
759,-1.5,32.12,False
664,-12.9,6.19,False
72,-10.9,55.63,False
480,-14.1,26.81,False
353,-13.2,22.66,False
101,-6.5,69.46,False
316,2.3,64.92,True
309,1.7,54.81,True
233,4.9,12.06,False
167,-13.6,43.62,False
325,-4.9,29.63,False
895,-3.3,45.58,False
989,-19.9,46.21,False
257,0.2,84.06,True
8,-13.2,50.74,False
371,1.6,93.76,True
180,3.9,17.11,False
804,4.6,69.26,True
987,3.4,90.43,True
791,1.5,86.21,True
555,-1.3,14.01,False
347,-18.2,59.4,False
